Day,AAPL_Trend,AAPL_Vol,AAPL_Price,S&P_Price,Apple_TV,AMZN_Trend,AMZN_Vol,AMZN_Price,S&P_Price,Amazon_TV,CSCO_Trend,CSCO_Vol,CSCO_Price,S&P_Price,Cisco_TV,FB_Trend,FB_Vol,FB_Price,S&P_Price,Facebook_TV,HPQ_Trend,HPQ_Vol,HPQ_Price,S&P_Price,HP_TV,IBM_Trend,IBM_Vol,IBM_Price,S&P_Price,IBM_TV,INTC_Trend,INTC_Vol,INTC_Price,S&P_Price,Intel_TV,LNKD_Trend,LNKD_Vol,LNKD_Price,S&P_Price,LinkedIn_TV,MSFT_Trend,MSFT_Vol,MSFT_Price,S&P_Price,Microsoft_TV,YHOO_Trend,YHOO_Vol,YHOO_Price,S&P_Price,Yahoo!_TV
9/10/13,100.0,,,,0,51.0,,,,0,88.0,,,,0,90.0,,,,0,96.0,,,,0,86.0,,,,0,88.0,,,,0,95.0,,,,0,96.0,,,,0,97.0,,,,0
9/11/13,58.0,0.20923267037641224,-0.05443601683713928,0.0030522746572130277,0,50.0,-0.020130454340980708,-0.00239712345185783,0.0030522746572130277,1,91.0,-0.14159932292235444,0.00917431192660545,0.0030522746572130277,1,91.0,0.32614415395588225,0.03302752293577971,0.0030522746572130277,1,98.0,-0.3486647910709344,0.0,0.0030522746572130277,1,91.0,0.5757239014478028,0.02198275862068977,0.0030522746572130277,1,93.0,0.44503144574741205,-0.00746596398770305,0.0030522746572130277,0,91.0,0.5912128956162768,0.01574334774160291,0.0030522746572130277,1,96.0,-0.31282216268292506,0.010575427682737226,0.0030522746572130277,1,95.0,-0.20242012362003747,-0.009837177747625492,0.0030522746572130277,0
9/12/13,35.0,-0.5504030059539573,0.010645161290322447,-0.00338043845056335,1,50.0,-0.07827384368185475,-0.0026031237484981373,-0.00338043845056335,0,90.0,-0.11184262837332826,-0.0037190082644628086,-0.00338043845056335,0,91.0,-0.058842804268868454,-0.006438721136767245,-0.00338043845056335,0,97.0,0.7604489369611782,-0.013544018058690654,-0.00338043845056335,0,87.0,-0.32402426000926876,0.000158161113454236,-0.00338043845056335,0,96.0,-0.3557195958555329,-0.007964601769911539,-0.00338043845056335,0,95.0,0.06195564889739957,-0.025142500195205697,-0.00338043845056335,0,100.0,-0.15931691717300922,-0.0015389350569406934,-0.00338043845056335,0,96.0,1.126414512366742,0.015758821514217036,-0.00338043845056335,1
9/13/13,31.0,-0.2604016520678567,-0.01649111607617837,0.002714711717812568,0,49.0,-0.15913335823683228,-0.003145285417921473,0.002714711717812568,0,80.0,-0.1714458370635631,0.0012442969722108455,0.002714711717812568,0,93.0,-0.22486385798628816,-0.009832402234636772,0.002714711717812568,0,90.0,-0.35278442571848034,0.004576659038901587,0.002714711717812568,0,83.0,0.10599737689281019,0.007537820884507829,0.002714711717812568,1,93.0,1.0711093946385075,0.035682426404995304,0.002714711717812568,1,86.0,-0.3223010702652397,-0.0004405286343611703,0.002714711717812568,0,94.0,0.24463636861613747,0.010480887792848392,0.002714711717812568,1,93.0,-0.3727941543106067,-0.013153456998313606,0.002714711717812568,0
9/16/13,26.0,0.8194177668256393,-0.031782778018173974,0.0056931616893465264,0,52.0,0.33896046201688135,-0.006243286788399582,0.0056931616893465264,0,78.0,0.7352822003360364,0.0024855012427504874,0.0056931616893465264,0,89.0,0.3346688069621513,-0.04062288422478,0.0056931616893465264,0,91.0,0.15262650901915698,-0.014578587699316636,0.0056931616893465264,0,80.0,0.05174644243208282,0.005127131945171115,0.0056931616893465264,1,83.0,-0.5078335089016404,-0.0021533161068043594,0.0056931616893465264,0,93.0,0.23345635567762413,-0.01839015986217396,0.0056931616893465264,0,96.0,0.2919557935401844,-0.007016473459426575,0.0056931616893465264,0,91.0,0.1381914632207335,0.012303485987696483,0.0056931616893465264,1
9/17/13,26.0,-0.2654482158398608,0.011552814462246763,0.004217719132893594,0,51.0,0.26990710019907094,0.027393095994055372,0.004217719132893594,1,90.0,-0.3773486218823845,-0.00041322314049574427,0.004217719132893594,0,91.0,0.30544045938754016,0.060221124441308005,0.004217719132893594,1,96.0,0.03661043451301782,-0.003236245954692518,0.004217719132893594,0,88.0,-0.2489493644936449,-0.005153029356652183,0.004217719132893594,0,89.0,0.24767602240058495,0.015105740181268867,0.004217719132893594,1,95.0,-0.3296221557302902,0.010979591836734581,0.004217719132893594,0,95.0,0.603273674907314,0.0039938556067589115,0.004217719132893594,0,97.0,-0.3332973515274277,0.01282916948008106,0.004217719132893594,1
9/18/13,41.0,0.14392579713396336,0.020544313864098385,0.01217766723761704,1,51.0,0.2829958632701939,0.0258408127034222,0.01217766723761704,1,90.0,0.4771019275481887,0.01777594047126918,0.01217766723761704,1,90.0,-0.13724538965743038,0.003550033281561893,0.01217766723761704,1,96.0,-0.14721888105068104,0.006029684601113194,0.01217766723761704,1,86.0,0.31079190692278824,0.01177209229320364,0.01217766723761704,1,89.0,-0.14824710247811046,0.006802721088435382,0.01217766723761704,1,94.0,0.34035706871496774,0.007630505874278493,0.01217766723761704,1,98.0,-0.24335991217767494,0.011933904528763861,0.01217766723761704,1,94.0,0.48295665590445447,0.014666666666666606,0.01217766723761704,1
9/19/13,40.0,-0.11452210952103703,0.016407636694229177,-0.0018429227131532278,1,48.0,-0.20211105077382574,9.614460148066328e-05,-0.0018429227131532278,1,86.0,0.3571136002816395,-0.0077173030056865155,-0.0018429227131532278,0,91.0,-0.19345915755764842,0.016581914658412522,-0.0018429227131532278,1,95.0,0.29811988228297825,-0.022591055786076675,-0.0018429227131532278,0,84.0,-0.17275756155968558,-0.005274588892336229,-0.0018429227131532278,1,88.0,-0.11615179168986156,0.0004222972972973693,-0.0018429227131532278,1,93.0,0.21234414930690004,-0.0020835002804712177,-0.0018429227131532278,1,95.0,-0.34435779150981516,0.009676443906864174,-0.0018429227131532278,1,94.0,-0.17825260426701606,0.019382391590013093,-0.0018429227131532278,1
9/20/13,41.0,0.7286318426899412,-0.010350115001277804,-0.007216925810234809,0,47.0,1.2554340890722702,0.013715311158110532,-0.007216925810234809,1,81.0,-0.06661112621567489,-0.004093327875562935,-0.007216925810234809,1,91.0,0.8055974138847377,0.03284036537625057,-0.007216925810234809,1,89.0,0.6533970774796787,-0.004245283018867951,-0.007216925810234809,1,81.0,1.682703502092445,-0.017467248908296984,-0.007216925810234809,0,89.0,0.665487201624831,-0.0059096665259603665,-0.007216925810234809,0,83.0,1.0438837432130308,-0.020717899301373133,-0.007216925810234809,0,88.0,1.4485659082581033,-0.025456723569931117,-0.007216925810234809,0,92.0,0.16649342326359307,-0.0032226877215598693,-0.007216925810234809,1
9/23/13,30.0,0.0898094502124116,0.04968797073380693,-0.0047195466428058275,1,49.0,-0.6445127586141863,-0.015331605234873757,-0.0047195466428058275,0,84.0,-0.28086551720451947,-0.009864364981504226,-0.0047195466428058275,0,90.0,-0.349164216628401,-0.006317119393556614,-0.0047195466428058275,0,94.0,-0.5018258416988143,-0.000947418285172863,-0.0047195466428058275,1,80.0,-0.6081586694659802,0.005132275132275099,-0.0047195466428058275,1,86.0,-0.523314708194353,-0.006369426751592466,-0.0047195466428058275,0,95.0,-0.2799949995312061,-0.0177941779417794,-0.0047195466428058275,0,98.0,-0.612981500395025,-0.001536570374923052,-0.0047195466428058275,1,92.0,0.05383440309807441,-0.02166181700614289,-0.0047195466428058275,0
